dataset,instancia,n,R,archivo
dinamica,DP-600-7000,600,7000,instancias/dinamica/DP-600-7000.txt
dinamica,DP-600-7500,600,7500,instancias/dinamica/DP-600-7500.txt
dinamica,DP-1100-1000,1100,1000,instancias/dinamica/DP-1100-1000.txt
dinamica,DP-1100-1500,1100,1500,instancias/dinamica/DP-1100-1500.txt
dinamica,DP-1100-2000,1100,2000,instancias/dinamica/DP-1100-2000.txt
dinamica,DP-1100-2500,1100,2500,instancias/dinamica/DP-1100-2500.txt
dinamica,DP-1100-3000,1100,3000,instancias/dinamica/DP-1100-3000.txt
dinamica,DP-1100-3500,1100,3500,instancias/dinamica/DP-1100-3500.txt
dinamica,DP-1100-4000,1100,4000,instancias/dinamica/DP-1100-4000.txt
dinamica,DP-1100-4500,1100,4500,instancias/dinamica/DP-1100-4500.txt
dinamica,DP-1100-5000,1100,5000,instancias/dinamica/DP-1100-5000.txt
dinamica,DP-1100-5500,1100,5500,instancias/dinamica/DP-1100-5500.txt
dinamica,DP-1100-6000,1100,6000,instancias/dinamica/DP-1100-6000.txt
dinamica,DP-1100-6500,1100,6500,instancias/dinamica/DP-1100-6500.txt
dinamica,DP-1100-7000,1100,7000,instancias/dinamica/DP-1100-7000.txt
dinamica,DP-1100-7500,1100,7500,instancias/dinamica/DP-1100-7500.txt
dinamica,DP-1600-1000,1600,1000,instancias/dinamica/DP-1600-1000.txt
dinamica,DP-1600-1500,1600,1500,instancias/dinamica/DP-1600-1500.txt
dinamica,DP-1600-2000,1600,2000,instancias/dinamica/DP-1600-2000.txt
dinamica,DP-1600-2500,1600,2500,instancias/dinamica/DP-1600-2500.txt
dinamica,DP-1600-3000,1600,3000,instancias/dinamica/DP-1600-3000.txt
dinamica,DP-1600-3500,1600,3500,instancias/dinamica/DP-1600-3500.txt
dinamica,DP-1600-4000,1600,4000,instancias/dinamica/DP-1600-4000.txt
dinamica,DP-1600-4500,1600,4500,instancias/dinamica/DP-1600-4500.txt
dinamica,DP-1600-5000,1600,5000,instancias/dinamica/DP-1600-5000.txt
dinamica,DP-1600-5500,1600,5500,instancias/dinamica/DP-1600-5500.txt
dinamica,DP-1600-6000,1600,6000,instancias/dinamica/DP-1600-6000.txt
dinamica,DP-1600-6500,1600,6500,instancias/dinamica/DP-1600-6500.txt
dinamica,DP-1600-7000,1600,7000,instancias/dinamica/DP-1600-7000.txt
dinamica,DP-1600-7500,1600,7500,instancias/dinamica/DP-1600-7500.txt
dinamica,DP-2100-1000,2100,1000,instancias/dinamica/DP-2100-1000.txt
dinamica,DP-2100-1500,2100,1500,instancias/dinamica/DP-2100-1500.txt
dinamica,DP-2100-2000,2100,2000,instancias/dinamica/DP-2100-2000.txt
dinamica,DP-2100-2500,2100,2500,instancias/dinamica/DP-2100-2500.txt
dinamica,DP-2100-3000,2100,3000,instancias/dinamica/DP-2100-3000.txt
dinamica,DP-2100-3500,2100,3500,instancias/dinamica/DP-2100-3500.txt
dinamica,DP-2100-4000,2100,4000,instancias/dinamica/DP-2100-4000.txt
dinamica,DP-2100-4500,2100,4500,instancias/dinamica/DP-2100-4500.txt
dinamica,DP-2100-5000,2100,5000,instancias/dinamica/DP-2100-5000.txt
dinamica,DP-2100-5500,2100,5500,instancias/dinamica/DP-2100-5500.txt
dinamica,DP-2100-6000,2100,6000,instancias/dinamica/DP-2100-6000.txt
dinamica,DP-2100-6500,2100,6500,instancias/dinamica/DP-2100-6500.txt
dinamica,DP-2100-7000,2100,7000,instancias/dinamica/DP-2100-7000.txt
dinamica,DP-2100-7500,2100,7500,instancias/dinamica/DP-2100-7500.txt
dinamica,DP-2600-1000,2600,1000,instancias/dinamica/DP-2600-1000.txt
dinamica,DP-2600-1500,2600,1500,instancias/dinamica/DP-2600-1500.txt
dinamica,DP-2600-2000,2600,2000,instancias/dinamica/DP-2600-2000.txt
dinamica,DP-2600-2500,2600,2500,instancias/dinamica/DP-2600-2500.txt
dinamica,DP-2600-3000,2600,3000,instancias/dinamica/DP-2600-3000.txt
dinamica,DP-2600-3500,2600,3500,instancias/dinamica/DP-2600-3500.txt
dinamica,DP-2600-4000,2600,4000,instancias/dinamica/DP-2600-4000.txt
dinamica,DP-2600-4500,2600,4500,instancias/dinamica/DP-2600-4500.txt
dinamica,DP-2600-5000,2600,5000,instancias/dinamica/DP-2600-5000.txt
dinamica,DP-2600-5500,2600,5500,instancias/dinamica/DP-2600-5500.txt
dinamica,DP-2600-6000,2600,6000,instancias/dinamica/DP-2600-6000.txt
dinamica,DP-2600-6500,2600,6500,instancias/dinamica/DP-2600-6500.txt
dinamica,DP-2600-7000,2600,7000,instancias/dinamica/DP-2600-7000.txt
dinamica,DP-2600-7500,2600,7500,instancias/dinamica/DP-2600-7500.txt
dinamica,DP-3100-1000,3100,1000,instancias/dinamica/DP-3100-1000.txt
dinamica,DP-3100-1500,3100,1500,instancias/dinamica/DP-3100-1500.txt
dinamica,DP-3100-2000,3100,2000,instancias/dinamica/DP-3100-2000.txt
dinamica,DP-3100-2500,3100,2500,instancias/dinamica/DP-3100-2500.txt
dinamica,DP-3100-3000,3100,3000,instancias/dinamica/DP-3100-3000.txt
dinamica,DP-3100-3500,3100,3500,instancias/dinamica/DP-3100-3500.txt
dinamica,DP-3100-4000,3100,4000,instancias/dinamica/DP-3100-4000.txt
dinamica,DP-3100-4500,3100,4500,instancias/dinamica/DP-3100-4500.txt
dinamica,DP-3100-5000,3100,5000,instancias/dinamica/DP-3100-5000.txt
dinamica,DP-3100-5500,3100,5500,instancias/dinamica/DP-3100-5500.txt
dinamica,DP-3100-6000,3100,6000,instancias/dinamica/DP-3100-6000.txt
dinamica,DP-3100-6500,3100,6500,instancias/dinamica/DP-3100-6500.txt
dinamica,DP-3100-7000,3100,7000,instancias/dinamica/DP-3100-7000.txt
dinamica,DP-3100-7500,3100,7500,instancias/dinamica/DP-3100-7500.txt
dinamica,DP-3600-1000,3600,1000,instancias/dinamica/DP-3600-1000.txt
dinamica,DP-3600-1500,3600,1500,instancias/dinamica/DP-3600-1500.txt
dinamica,DP-3600-2000,3600,2000,instancias/dinamica/DP-3600-2000.txt
dinamica,DP-3600-2500,3600,2500,instancias/dinamica/DP-3600-2500.txt
dinamica,DP-3600-3000,3600,3000,instancias/dinamica/DP-3600-3000.txt
dinamica,DP-3600-3500,3600,3500,instancias/dinamica/DP-3600-3500.txt
dinamica,DP-3600-4000,3600,4000,instancias/dinamica/DP-3600-4000.txt
dinamica,DP-3600-4500,3600,4500,instancias/dinamica/DP-3600-4500.txt
dinamica,DP-3600-5000,3600,5000,instancias/dinamica/DP-3600-5000.txt
dinamica,DP-3600-5500,3600,5500,instancias/dinamica/DP-3600-5500.txt
dinamica,DP-3600-6000,3600,6000,instancias/dinamica/DP-3600-6000.txt
dinamica,DP-3600-6500,3600,6500,instancias/dinamica/DP-3600-6500.txt
dinamica,DP-3600-7000,3600,7000,instancias/dinamica/DP-3600-7000.txt
dinamica,DP-3600-7500,3600,7500,instancias/dinamica/DP-3600-7500.txt
dinamica,DP-4100-1000,4100,1000,instancias/dinamica/DP-4100-1000.txt
dinamica,DP-4100-1500,4100,1500,instancias/dinamica/DP-4100-1500.txt
dinamica,DP-4100-2000,4100,2000,instancias/dinamica/DP-4100-2000.txt
dinamica,DP-4100-2500,4100,2500,instancias/dinamica/DP-4100-2500.txt
dinamica,DP-4100-3000,4100,3000,instancias/dinamica/DP-4100-3000.txt
dinamica,DP-4100-3500,4100,3500,instancias/dinamica/DP-4100-3500.txt
dinamica,DP-4100-4000,4100,4000,instancias/dinamica/DP-4100-4000.txt
dinamica,DP-4100-4500,4100,4500,instancias/dinamica/DP-4100-4500.txt
dinamica,DP-4100-5000,4100,5000,instancias/dinamica/DP-4100-5000.txt
dinamica,DP-4100-5500,4100,5500,instancias/dinamica/DP-4100-5500.txt
dinamica,DP-4100-6000,4100,6000,instancias/dinamica/DP-4100-6000.txt
dinamica,DP-4100-6500,4100,6500,instancias/dinamica/DP-4100-6500.txt
dinamica,DP-4100-7000,4100,7000,instancias/dinamica/DP-4100-7000.txt
dinamica,DP-4100-7500,4100,7500,instancias/dinamica/DP-4100-7500.txt
dinamica,DP-4600-1000,4600,1000,instancias/dinamica/DP-4600-1000.txt
dinamica,DP-4600-1500,4600,1500,instancias/dinamica/DP-4600-1500.txt
dinamica,DP-4600-2000,4600,2000,instancias/dinamica/DP-4600-2000.txt
dinamica,DP-4600-2500,4600,2500,instancias/dinamica/DP-4600-2500.txt
dinamica,DP-4600-3000,4600,3000,instancias/dinamica/DP-4600-3000.txt
dinamica,DP-4600-3500,4600,3500,instancias/dinamica/DP-4600-3500.txt
dinamica,DP-4600-4000,4600,4000,instancias/dinamica/DP-4600-4000.txt
dinamica,DP-4600-4500,4600,4500,instancias/dinamica/DP-4600-4500.txt
dinamica,DP-4600-5000,4600,5000,instancias/dinamica/DP-4600-5000.txt
dinamica,DP-4600-5500,4600,5500,instancias/dinamica/DP-4600-5500.txt
dinamica,DP-4600-6000,4600,6000,instancias/dinamica/DP-4600-6000.txt
dinamica,DP-4600-6500,4600,6500,instancias/dinamica/DP-4600-6500.txt
dinamica,DP-4600-7000,4600,7000,instancias/dinamica/DP-4600-7000.txt
dinamica,DP-4600-7500,4600,7500,instancias/dinamica/DP-4600-7500.txt
dinamica,DP-5100-1000,5100,1000,instancias/dinamica/DP-5100-1000.txt
dinamica,DP-5100-1500,5100,1500,instancias/dinamica/DP-5100-1500.txt
dinamica,DP-5100-2000,5100,2000,instancias/dinamica/DP-5100-2000.txt
dinamica,DP-5100-2500,5100,2500,instancias/dinamica/DP-5100-2500.txt
dinamica,DP-5100-3000,5100,3000,instancias/dinamica/DP-5100-3000.txt
dinamica,DP-5100-3500,5100,3500,instancias/dinamica/DP-5100-3500.txt
dinamica,DP-5100-4000,5100,4000,instancias/dinamica/DP-5100-4000.txt
dinamica,DP-5100-4500,5100,4500,instancias/dinamica/DP-5100-4500.txt
dinamica,DP-5100-5000,5100,5000,instancias/dinamica/DP-5100-5000.txt
dinamica,DP-5100-5500,5100,5500,instancias/dinamica/DP-5100-5500.txt
dinamica,DP-5100-6000,5100,6000,instancias/dinamica/DP-5100-6000.txt
dinamica,DP-5100-6500,5100,6500,instancias/dinamica/DP-5100-6500.txt
dinamica,DP-5100-7000,5100,7000,instancias/dinamica/DP-5100-7000.txt
dinamica,DP-5100-7500,5100,7500,instancias/dinamica/DP-5100-7500.txt
dinamica,DP-5600-1000,5600,1000,instancias/dinamica/DP-5600-1000.txt
dinamica,DP-5600-1500,5600,1500,instancias/dinamica/DP-5600-1500.txt
dinamica,DP-5600-2000,5600,2000,instancias/dinamica/DP-5600-2000.txt
dinamica,DP-5600-2500,5600,2500,instancias/dinamica/DP-5600-2500.txt
dinamica,DP-5600-3000,5600,3000,instancias/dinamica/DP-5600-3000.txt
dinamica,DP-5600-3500,5600,3500,instancias/dinamica/DP-5600-3500.txt
dinamica,DP-5600-4000,5600,4000,instancias/dinamica/DP-5600-4000.txt
dinamica,DP-5600-4500,5600,4500,instancias/dinamica/DP-5600-4500.txt
dinamica,DP-5600-5000,5600,5000,instancias/dinamica/DP-5600-5000.txt
dinamica,DP-5600-5500,5600,5500,instancias/dinamica/DP-5600-5500.txt
dinamica,DP-5600-6000,5600,6000,instancias/dinamica/DP-5600-6000.txt
dinamica,DP-5600-6500,5600,6500,instancias/dinamica/DP-5600-6500.txt
dinamica,DP-5600-7000,5600,7000,instancias/dinamica/DP-5600-7000.txt
dinamica,DP-5600-7500,5600,7500,instancias/dinamica/DP-5600-7500.txt
dinamica,DP-6100-1000,6100,1000,instancias/dinamica/DP-6100-1000.txt
dinamica,DP-6100-1500,6100,1500,instancias/dinamica/DP-6100-1500.txt
dinamica,DP-6100-2000,6100,2000,instancias/dinamica/DP-6100-2000.txt
dinamica,DP-6100-2500,6100,2500,instancias/dinamica/DP-6100-2500.txt
dinamica,DP-6100-3000,6100,3000,instancias/dinamica/DP-6100-3000.txt
dinamica,DP-6100-3500,6100,3500,instancias/dinamica/DP-6100-3500.txt
dinamica,DP-6100-4000,6100,4000,instancias/dinamica/DP-6100-4000.txt
dinamica,DP-6100-4500,6100,4500,instancias/dinamica/DP-6100-4500.txt
dinamica,DP-6100-5000,6100,5000,instancias/dinamica/DP-6100-5000.txt
dinamica,DP-6100-5500,6100,5500,instancias/dinamica/DP-6100-5500.txt
dinamica,DP-6100-6000,6100,6000,instancias/dinamica/DP-6100-6000.txt
dinamica,DP-6100-6500,6100,6500,instancias/dinamica/DP-6100-6500.txt
dinamica,DP-6100-7000,6100,7000,instancias/dinamica/DP-6100-7000.txt
dinamica,DP-6100-7500,6100,7500,instancias/dinamica/DP-6100-7500.txt
dinamica,DP-6600-1000,6600,1000,instancias/dinamica/DP-6600-1000.txt
dinamica,DP-6600-1500,6600,1500,instancias/dinamica/DP-6600-1500.txt
dinamica,DP-6600-2000,6600,2000,instancias/dinamica/DP-6600-2000.txt
dinamica,DP-6600-2500,6600,2500,instancias/dinamica/DP-6600-2500.txt
dinamica,DP-6600-3000,6600,3000,instancias/dinamica/DP-6600-3000.txt
dinamica,DP-6600-3500,6600,3500,instancias/dinamica/DP-6600-3500.txt
dinamica,DP-6600-4000,6600,4000,instancias/dinamica/DP-6600-4000.txt
dinamica,DP-6600-4500,6600,4500,instancias/dinamica/DP-6600-4500.txt
dinamica,DP-6600-5000,6600,5000,instancias/dinamica/DP-6600-5000.txt
dinamica,DP-6600-5500,6600,5500,instancias/dinamica/DP-6600-5500.txt
dinamica,DP-6600-6000,6600,6000,instancias/dinamica/DP-6600-6000.txt
dinamica,DP-6600-6500,6600,6500,instancias/dinamica/DP-6600-6500.txt
dinamica,DP-6600-7000,6600,7000,instancias/dinamica/DP-6600-7000.txt
dinamica,DP-6600-7500,6600,7500,instancias/dinamica/DP-6600-7500.txt
dinamica,DP-7100-1000,7100,1000,instancias/dinamica/DP-7100-1000.txt
dinamica,DP-7100-1500,7100,1500,instancias/dinamica/DP-7100-1500.txt
dinamica,DP-7100-2000,7100,2000,instancias/dinamica/DP-7100-2000.txt
dinamica,DP-7100-2500,7100,2500,instancias/dinamica/DP-7100-2500.txt
dinamica,DP-7100-3000,7100,3000,instancias/dinamica/DP-7100-3000.txt
dinamica,DP-7100-3500,7100,3500,instancias/dinamica/DP-7100-3500.txt
dinamica,DP-7100-4000,7100,4000,instancias/dinamica/DP-7100-4000.txt
dinamica,DP-7100-4500,7100,4500,instancias/dinamica/DP-7100-4500.txt
dinamica,DP-7100-5000,7100,5000,instancias/dinamica/DP-7100-5000.txt
dinamica,DP-7100-5500,7100,5500,instancias/dinamica/DP-7100-5500.txt
dinamica,DP-7100-6000,7100,6000,instancias/dinamica/DP-7100-6000.txt
dinamica,DP-7100-6500,7100,6500,instancias/dinamica/DP-7100-6500.txt
dinamica,DP-7100-7000,7100,7000,instancias/dinamica/DP-7100-7000.txt
dinamica,DP-7100-7500,7100,7500,instancias/dinamica/DP-7100-7500.txt
dinamica,DP-7600-1000,7600,1000,instancias/dinamica/DP-7600-1000.txt
dinamica,DP-7600-1500,7600,1500,instancias/dinamica/DP-7600-1500.txt
dinamica,DP-7600-2000,7600,2000,instancias/dinamica/DP-7600-2000.txt
dinamica,DP-7600-2500,7600,2500,instancias/dinamica/DP-7600-2500.txt
dinamica,DP-7600-3000,7600,3000,instancias/dinamica/DP-7600-3000.txt
dinamica,DP-7600-3500,7600,3500,instancias/dinamica/DP-7600-3500.txt
dinamica,DP-7600-4000,7600,4000,instancias/dinamica/DP-7600-4000.txt
dinamica,DP-7600-4500,7600,4500,instancias/dinamica/DP-7600-4500.txt
dinamica,DP-7600-5000,7600,5000,instancias/dinamica/DP-7600-5000.txt
dinamica,DP-7600-5500,7600,5500,instancias/dinamica/DP-7600-5500.txt
dinamica,DP-7600-6000,7600,6000,instancias/dinamica/DP-7600-6000.txt
dinamica,DP-7600-6500,7600,6500,instancias/dinamica/DP-7600-6500.txt
dinamica,DP-7600-7000,7600,7000,instancias/dinamica/DP-7600-7000.txt
dinamica,DP-7600-7500,7600,7500,instancias/dinamica/DP-7600-7500.txt
