dataset,instancia,n,W,archivo
berlin-maxiter,berlin52,910000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,920000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,930000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,940000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,950000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,960000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,970000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,980000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,990000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter,berlin52,1000000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,1000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,2000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,3000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,4000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,5000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,6000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,7000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,8000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,9000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,10000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,11000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,12000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,13000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,14000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,15000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,16000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,17000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,18000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,19000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,20000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,21000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,22000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,23000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,24000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,25000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,26000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,27000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,28000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,29000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,30000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,31000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,32000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,33000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,34000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,35000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,36000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,37000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,38000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,39000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,40000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,41000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,42000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,43000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,44000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,45000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,46000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,47000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,48000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,49000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,50000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,51000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,52000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,53000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,54000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,55000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,56000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,57000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,58000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,59000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,60000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,61000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,62000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,63000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,64000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,65000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,66000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,67000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,68000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,69000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,70000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,71000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,72000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,73000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,74000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,75000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,76000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,77000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,78000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,79000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,80000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,81000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,82000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,83000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,84000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,85000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,86000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,87000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,88000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,89000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,90000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,91000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,92000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,93000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,94000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,95000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,96000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,97000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,98000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,99000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxiter-sm,berlin52,100000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,1000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,2000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,3000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,4000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,5000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,6000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,7000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,8000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,9000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,10000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,11000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,12000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,13000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,14000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,15000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,16000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,17000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,18000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,19000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,20000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,21000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,22000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,23000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,24000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,25000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,26000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,27000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,28000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,29000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxtime,berlin52,30000,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,1,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,2,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,3,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,4,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,5,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,6,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,7,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,8,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,9,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,10,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,11,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,12,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,13,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,14,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,15,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,16,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,17,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,18,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,19,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,20,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,21,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,22,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,23,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,24,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,25,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,26,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,27,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,28,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,29,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,30,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,31,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,32,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,33,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,34,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,35,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,36,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,37,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,38,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,39,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,40,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,41,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,42,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,43,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,44,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,45,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,46,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,47,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,48,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,49,0,instancias/berlin-parametros/berlin52.txt
berlin-maxsize,berlin52,50,0,instancias/berlin-parametros/berlin52.txt
