dataset,instancia,n,R,archivo
densidad-alta,ALTA-49,49,49,instancias/densidad-alta/ALTA-49.txt
densidad-alta,ALTA-50,50,50,instancias/densidad-alta/ALTA-50.txt
densidad-alta,ALTA-51,51,51,instancias/densidad-alta/ALTA-51.txt
densidad-alta,ALTA-52,52,52,instancias/densidad-alta/ALTA-52.txt
densidad-alta,ALTA-53,53,53,instancias/densidad-alta/ALTA-53.txt
densidad-alta,ALTA-54,54,54,instancias/densidad-alta/ALTA-54.txt
densidad-alta,ALTA-55,55,55,instancias/densidad-alta/ALTA-55.txt
densidad-alta,ALTA-56,56,56,instancias/densidad-alta/ALTA-56.txt
densidad-alta,ALTA-57,57,57,instancias/densidad-alta/ALTA-57.txt
densidad-alta,ALTA-58,58,58,instancias/densidad-alta/ALTA-58.txt
densidad-alta,ALTA-59,59,59,instancias/densidad-alta/ALTA-59.txt
densidad-alta,ALTA-60,60,60,instancias/densidad-alta/ALTA-60.txt
densidad-alta,ALTA-61,61,61,instancias/densidad-alta/ALTA-61.txt
densidad-alta,ALTA-62,62,62,instancias/densidad-alta/ALTA-62.txt
densidad-alta,ALTA-63,63,63,instancias/densidad-alta/ALTA-63.txt
densidad-alta,ALTA-64,64,64,instancias/densidad-alta/ALTA-64.txt
densidad-alta,ALTA-65,65,65,instancias/densidad-alta/ALTA-65.txt
densidad-alta,ALTA-66,66,66,instancias/densidad-alta/ALTA-66.txt
densidad-alta,ALTA-67,67,67,instancias/densidad-alta/ALTA-67.txt
densidad-alta,ALTA-68,68,68,instancias/densidad-alta/ALTA-68.txt
densidad-alta,ALTA-69,69,69,instancias/densidad-alta/ALTA-69.txt
densidad-alta,ALTA-70,70,70,instancias/densidad-alta/ALTA-70.txt
densidad-alta,ALTA-71,71,71,instancias/densidad-alta/ALTA-71.txt
densidad-alta,ALTA-72,72,72,instancias/densidad-alta/ALTA-72.txt
densidad-alta,ALTA-73,73,73,instancias/densidad-alta/ALTA-73.txt
densidad-alta,ALTA-74,74,74,instancias/densidad-alta/ALTA-74.txt
densidad-alta,ALTA-75,75,75,instancias/densidad-alta/ALTA-75.txt
densidad-alta,ALTA-76,76,76,instancias/densidad-alta/ALTA-76.txt
densidad-alta,ALTA-77,77,77,instancias/densidad-alta/ALTA-77.txt
densidad-alta,ALTA-78,78,78,instancias/densidad-alta/ALTA-78.txt
densidad-alta,ALTA-79,79,79,instancias/densidad-alta/ALTA-79.txt
densidad-alta,ALTA-80,80,80,instancias/densidad-alta/ALTA-80.txt
densidad-alta,ALTA-81,81,81,instancias/densidad-alta/ALTA-81.txt
densidad-alta,ALTA-82,82,82,instancias/densidad-alta/ALTA-82.txt
densidad-alta,ALTA-83,83,83,instancias/densidad-alta/ALTA-83.txt
densidad-alta,ALTA-84,84,84,instancias/densidad-alta/ALTA-84.txt
densidad-alta,ALTA-85,85,85,instancias/densidad-alta/ALTA-85.txt
densidad-alta,ALTA-86,86,86,instancias/densidad-alta/ALTA-86.txt
densidad-alta,ALTA-87,87,87,instancias/densidad-alta/ALTA-87.txt
densidad-alta,ALTA-88,88,88,instancias/densidad-alta/ALTA-88.txt
densidad-alta,ALTA-89,89,89,instancias/densidad-alta/ALTA-89.txt
densidad-alta,ALTA-90,90,90,instancias/densidad-alta/ALTA-90.txt
densidad-alta,ALTA-91,91,91,instancias/densidad-alta/ALTA-91.txt
densidad-alta,ALTA-92,92,92,instancias/densidad-alta/ALTA-92.txt
densidad-alta,ALTA-93,93,93,instancias/densidad-alta/ALTA-93.txt
densidad-alta,ALTA-94,94,94,instancias/densidad-alta/ALTA-94.txt
densidad-alta,ALTA-95,95,95,instancias/densidad-alta/ALTA-95.txt
densidad-alta,ALTA-96,96,96,instancias/densidad-alta/ALTA-96.txt
densidad-alta,ALTA-97,97,97,instancias/densidad-alta/ALTA-97.txt
densidad-alta,ALTA-98,98,98,instancias/densidad-alta/ALTA-98.txt
densidad-alta,ALTA-99,99,99,instancias/densidad-alta/ALTA-99.txt
densidad-alta,ALTA-100,100,100,instancias/densidad-alta/ALTA-100.txt
